source,published_at,keyword,title,text,url,author,views,likes,comments,cleaned_text
TVmaze,2010-02-11,The Office,The Manager and the Salesman,"When the new CEO visits the office, she informs Michael and Jim that only one of the can be manager; Andy gives Valentine's Day cards to all the staff giving Kelly the wrong impression.",https://www.tvmaze.com/episodes/47755/the-office-6x16-the-manager-and-the-salesman,The Office,,,,
TVmaze,2010-03-04,The Office,The Delivery (1),Pam insists on waiting until after midnight to check in to the hospital; Dwight and Angela make a business agreement to have their own baby.,https://www.tvmaze.com/episodes/47756/the-office-6x17-the-delivery-1,The Office,,,,
TVmaze,2010-03-04,The Office,The Delivery (2),"After the birth of the baby, Pam has trouble getting the baby to breastfeed. Michael tries to set up other members of the office.",https://www.tvmaze.com/episodes/47757/the-office-6x18-the-delivery-2,The Office,,,,
TVmaze,2010-03-11,The Office,St. Patrick's Day,Dwight becomes obsessed with a mega desk recreated while Jim and Pam were gone; Michael's attempts to suck up to Jo are unsuccessful.,https://www.tvmaze.com/episodes/47758/the-office-6x19-st-patricks-day,The Office,,,,
TVmaze,2010-03-18,The Office,New Leads,Tensions rise in the office when the sales staff thinks they are the top dog.,https://www.tvmaze.com/episodes/47759/the-office-6x20-new-leads,The Office,,,,
TVmaze,2010-03-25,The Office,Happy Hour,Oscar gets the staff to go out after work in order to see Matt from the warehouse. ,https://www.tvmaze.com/episodes/47760/the-office-6x21-happy-hour,The Office,,,,
TVmaze,2010-04-22,The Office,Secretary's Day,Andy tries to create a special secretary's day for Erin but Michael accidentally reveals a secret.,https://www.tvmaze.com/episodes/47761/the-office-6x22-secretarys-day,The Office,,,,
TVmaze,2010-04-29,The Office,Body Language,Michael thinks that a new client is interested in him; Dwight tries to recruit different minorities into Sabre executive program.,https://www.tvmaze.com/episodes/47762/the-office-6x23-body-language,The Office,,,,
TVmaze,2010-05-06,The Office,The Cover-Up,Michael thinks Donna is cheating on him; Darryl tries to set Andy up.,https://www.tvmaze.com/episodes/47763/the-office-6x24-the-cover-up,The Office,,,,
TVmaze,2010-05-13,The Office,The Chump,Michael doesn't break up with Donna after learning she is married; Jim and Pam struggle to stay awake at work; Dwight and Angela take their baby contract to a mediator. ,https://www.tvmaze.com/episodes/47764/the-office-6x25-the-chump,The Office,,,,
TVmaze,2010-05-20,The Office,Whistleblower,Jo returns to the branch to find who contacted the press about the printer's starting on fire.,https://www.tvmaze.com/episodes/47765/the-office-6x26-whistleblower,The Office,,,,
TVmaze,2010-09-23,The Office,Nepotism,The staff demands that Michael fire the new assistant who keeps screwing things up.,https://www.tvmaze.com/episodes/47766/the-office-7x01-nepotism,The Office,,,,
TVmaze,2010-09-30,The Office,Counseling,Michael has to go to counseling with Toby; Dwight seeks revenge on a local mall; Pam fakes her way into a new position.,https://www.tvmaze.com/episodes/47767/the-office-7x02-counseling,The Office,,,,
TVmaze,2010-10-07,The Office,Andy's Play,"Andy invites the entire office to his community theatre production of ""Sweeney Todd'.",https://www.tvmaze.com/episodes/47768/the-office-7x03-andys-play,The Office,,,,
TVmaze,2010-10-14,The Office,Sex Ed,Michael contacts all of his former girlfriends thinking he has herpes.,https://www.tvmaze.com/episodes/47769/the-office-7x04-sex-ed,The Office,,,,
TVmaze,2010-10-21,The Office,The Sting,"Michael, Dwight and Jim arrange a sting on a rival company salesman.",https://www.tvmaze.com/episodes/47770/the-office-7x05-the-sting,The Office,,,,
TVmaze,2010-10-28,The Office,Costume Contest,"While the office celebrates Halloween, Michael comes upset that Darryl went to corporate with an idea; Jim is set on figuring out why Danny didn't call Pam back when they went on some dates.",https://www.tvmaze.com/episodes/47771/the-office-7x06-costume-contest,The Office,,,,
TVmaze,2010-11-04,The Office,Christening,The entire office staff attends CiCi's christening.,https://www.tvmaze.com/episodes/47772/the-office-7x07-christening,The Office,,,,
TVmaze,2010-11-11,The Office,Viewing Party,Gabe and Erin throw a Glee viewing party which Michael attempts to sabotage; Pam discovers Dwight is the secret to CiCi's sleeping problem.,https://www.tvmaze.com/episodes/47773/the-office-7x08-viewing-party,The Office,,,,
